time,open,high,low,close,volume
2024-11-22T07:00:00.000Z,199,199,195,195,1022572
2024-11-21T07:00:00.000Z,196,199,195,199,1108221
2024-11-20T07:00:00.000Z,198,198,194,198,1368524
2024-11-19T07:00:00.000Z,195,199,195,196,1655706
2024-11-18T07:00:00.000Z,199,199,194,196,3396457
2024-11-15T07:00:00.000Z,197,207,195,198,1667041
2024-11-14T07:00:00.000Z,192,199,189,199,1948006
2024-11-13T07:00:00.000Z,182,192,177,192,4353973
2024-11-12T07:00:00.000Z,170,182,169,182,2831254
2024-11-11T07:00:00.000Z,171,172,169,172,417247
2024-11-08T07:00:00.000Z,171,172,167,172,3576402
2024-11-07T07:00:00.000Z,164,171,163,167,22725150
2024-11-06T07:00:00.000Z,160,165,160,162,1038877
2024-11-05T07:00:00.000Z,161,167,155,159,1203889
2024-11-04T07:00:00.000Z,167,167,159,165,248873
2024-11-01T07:00:00.000Z,162,164,158,162,303739
2024-10-31T07:00:00.000Z,164,165,158,164,1660478
2024-10-30T07:00:00.000Z,161,164,158,163,606435
2024-10-29T07:00:00.000Z,160,161,156,161,11273179
2024-10-28T07:00:00.000Z,157,160,157,160,404023
2024-10-25T07:00:00.000Z,160,160,157,157,555933
2024-10-24T07:00:00.000Z,156,160,155,160,1209967
2024-10-23T07:00:00.000Z,157,157,156,156,289955
2024-10-22T07:00:00.000Z,156,159,155,159,1029918
2024-10-21T07:00:00.000Z,160,161,156,156,1026311
2024-10-18T07:00:00.000Z,157,158,155,158,36172
2024-10-17T07:00:00.000Z,152,157,152,157,847684
2024-10-16T07:00:00.000Z,151,156,151,152,8982385
2024-10-15T07:00:00.000Z,153,156,150,155,7649047
2024-10-14T07:00:00.000Z,152,153,151,151,110558
2024-10-11T07:00:00.000Z,150,154,150,154,1079287
2024-10-10T07:00:00.000Z,154,154,150,150,1306358
2024-10-09T07:00:00.000Z,154,155,150,155,242133
2024-10-08T07:00:00.000Z,153,155,148,152,6114749
2024-10-07T07:00:00.000Z,151,154,149,154,2194241
2024-10-04T07:00:00.000Z,150,151,148,151,4265875
2024-10-03T07:00:00.000Z,148,152,147,148,8367886
2024-10-02T07:00:00.000Z,141,150,141,150,995165
2024-10-01T07:00:00.000Z,149,155,139,144,1656888
2024-09-30T07:00:00.000Z,144,149,143,146,488865
2024-09-27T07:00:00.000Z,141,148,138,146,3903569
2024-09-26T07:00:00.000Z,136,143,136,142,305723
2024-09-25T07:00:00.000Z,134,143,134,143,6721664
2024-09-23T07:00:00.000Z,127,133,126,133,2023929
2024-09-20T07:00:00.000Z,123,126,119,125,3469399
2024-09-19T07:00:00.000Z,118,123,117,122,27585981
